               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10752,            0.043389,                   0,             0.10216,             0.14124,            0.046278,            0.011699,            0.080368,            0.029231,                   0,              0.0748,              0.0028,              0.0028
                   1,            0.080385,            0.047958,                   0,             0.30588,             0.32045,             0.23373,            0.068151,            0.065892,             0.03887,                   0,            0.048677,           0.0056774,           0.0056774
                   2,            0.070936,             0.04197,                   0,             0.29045,             0.44304,             0.24122,            0.075238,            0.065522,            0.026856,                   0,            0.022532,           0.0085319,           0.0085319
                   3,            0.067918,            0.037642,                   0,             0.44183,             0.50415,             0.43169,             0.13681,             0.05917,            0.027616,                   0,           0.0098812,           0.0098812,           0.0098812
                   4,            0.062158,            0.037035,                   0,             0.57552,             0.63624,             0.57076,             0.17082,            0.055533,            0.023376,                   0,           0.0098812,           0.0098812,           0.0098812
                   5,            0.056999,            0.035037,                   0,             0.52165,             0.59427,             0.56567,              0.2435,            0.052498,            0.029899,                   0,           0.0098416,           0.0098416,           0.0098416
                   6,            0.053688,            0.035348,                   0,             0.76657,             0.75483,             0.79707,             0.33175,            0.042369,            0.019494,                   0,            0.009802,            0.009802,            0.009802
                   7,            0.051076,            0.034657,                   0,             0.78021,             0.70819,             0.80089,             0.33886,            0.042293,            0.019911,                   0,           0.0097624,           0.0097624,           0.0097624
                   8,            0.048861,            0.032527,                   0,             0.86328,             0.83011,             0.90368,             0.42942,            0.039046,            0.016091,                   0,           0.0097228,           0.0097228,           0.0097228
                   9,            0.047353,            0.031031,                   0,             0.87307,             0.84319,             0.90904,             0.43562,            0.038667,            0.016111,                   0,           0.0096832,           0.0096832,           0.0096832
                  10,            0.045186,            0.032063,                   0,             0.86767,             0.82878,             0.90462,             0.41298,              0.0411,            0.016442,                   0,           0.0096436,           0.0096436,           0.0096436
                  11,            0.048387,            0.031383,                   0,             0.89229,             0.82787,             0.92249,             0.43097,            0.039392,            0.015485,                   0,            0.009604,            0.009604,            0.009604
                  12,            0.044701,            0.031477,                   0,             0.87928,             0.82977,             0.91731,             0.45329,            0.035991,            0.015396,                   0,           0.0095644,           0.0095644,           0.0095644
